"id_user","location_latitude","location_longitude"
309537,NULL,NULL
388973,33.6306,-84.3592
389211,33.6252,-84.6216
389296,33.9655,-83.9927
390008,34.0285,-85.0647
395857,34.0771,-83.9554
395858,34.1490,-84.1800
395938,33.7351,-84.4169
395943,33.5874,-84.1562
395948,33.8405,-84.0454
395950,33.6392,-84.6102
395951,33.5373,-84.0787
395953,33.9207,-84.5536
395955,33.8636,-83.9192
395958,33.5483,-84.5343
401895,33.6939,-84.4624
402486,33.5926,-85.0366
402911,34.8017,-84.9564
409713,33.8104,-84.1935
410463,33.7518,-84.8900
411682,33.3832,-84.8110
412816,33.6850,-84.4472
412839,34.7682,-84.4672
413078,33.4182,-84.2898
413105,33.7778,-84.0937
413190,33.6506,-84.6237
413816,33.7018,-84.1524
413948,34.0389,-83.9400
414650,33.5769,-83.9338
415047,33.7372,-84.4616
415527,33.7468,-84.2429
419348,33.9526,-84.1487
419407,34.3883,-83.0317
421974,33.7495,-84.4103
422886,33.8405,-84.0454
423279,33.7934,-84.1370
426652,33.9203,-84.0573
427609,33.5402,-84.0685
430926,33.8107,-83.9655
431942,33.6022,-84.2723
435593,33.7782,-84.5645
439424,33.4404,-84.3293
439998,33.7699,-84.6348
443368,33.5585,-84.6178
444418,33.8405,-84.0454
445157,NULL,NULL
445161,33.4949,-81.9797
445555,33.7082,-84.1909
446301,33.8788,-84.0342
446672,33.7212,-84.0662
447679,33.7390,-84.6898
448138,33.7814,-84.1605
448144,33.4220,-84.1949
448184,33.8107,-84.0622
448185,34.1455,-83.5778
449816,33.5419,-84.0836
450434,32.4619,-84.9571
451731,31.6087,-84.1699
451983,33.8770,-84.6994
452011,34.7466,-84.9505
453422,33.2052,-84.2414
454537,33.7193,-84.4552
454548,33.5361,-84.3826
454913,33.9947,-84.1603
454915,33.4110,-85.1194
454916,34.0513,-84.6993
454917,33.8693,-83.9851
454918,34.2933,-85.2405
455582,34.2695,-85.2376
456488,33.9561,-84.0910
457981,33.8082,-84.1702
458132,33.6902,-84.0271
458133,33.6811,-84.4937
458212,33.9306,-84.0811
458640,33.7171,-84.3917
459199,33.7155,-84.5509
459688,33.6218,-84.6532
460321,34.3339,-85.0916
460435,33.4605,-84.3763
460536,33.9440,-84.1535
461054,33.7858,-84.6444
461083,34.5882,-84.8901
461466,33.5215,-84.3538
462399,33.7901,-83.9883
462400,33.5417,-84.1188
462872,33.8970,-84.6268
463149,33.6965,-84.7774
463521,33.8132,-83.9547
463695,34.0404,-83.8675
464211,34.0067,-84.1750
465174,33.8602,-84.5141
465273,33.7973,-84.6718
465380,33.8726,-84.4914
465391,34.1895,-84.7775
465642,33.5214,-84.3664
466075,33.8928,-84.2254
466076,33.7631,-84.3163
466217,33.9574,-83.9403
466218,34.5821,-84.8829
466333,33.7514,-84.7562
466635,33.6987,-84.4116
466659,33.6038,-84.5263
467382,33.4746,-84.0511
467383,33.9488,-84.1551
467400,33.6069,-84.3740
467414,34.1032,-84.0392
467598,33.5913,-84.4869
467696,33.7866,-84.5500
467781,33.4907,-84.2308
468011,33.9326,-84.0726
468292,33.9551,-83.9416
468294,34.2277,-83.8884
468355,33.9883,-84.1657
468377,33.4496,-84.3310
468617,33.9375,-84.0522
468623,33.5080,-84.3018
469031,33.9606,-83.9702
469032,33.6490,-84.6185
469039,30.8039,-83.2106
469209,34.0303,-84.2990
469392,33.5742,-84.5196
469597,33.5206,-84.1899
469642,33.7843,-84.4672
469646,33.7123,-84.1052
469808,34.0997,-84.6180
469812,33.8413,-84.8084
469908,34.0790,-84.2043
469913,33.8024,-84.2152
470059,33.7646,-84.4828
470324,33.9427,-84.2474
470358,34.0834,-83.9736
470650,33.5556,-84.3344
470692,33.6877,-84.5362
470872,33.9262,-84.0484
470998,33.8473,-84.6424
470999,33.8468,-84.6985
471036,33.6005,-84.2788
471262,33.4205,-84.2910
471263,33.8410,-84.4979
471264,33.9037,-83.9307
471265,33.4972,-84.5052
471556,33.7887,-84.0352
471673,34.2659,-84.0967
471826,34.0653,-84.6400
472152,33.8436,-84.5044
472153,33.9260,-84.9856
472154,33.7359,-84.3650
472169,33.8971,-84.0303
472223,33.7760,-84.0837
472225,33.7232,-84.1955
472228,33.8606,-84.6076
472229,33.6714,-84.2842
472297,33.9629,-83.8782
472328,33.5633,-84.6104
472333,33.4629,-84.2141
472456,33.7588,-84.7360
472486,33.5304,-84.3700
472487,33.6857,-84.6722
472503,33.8111,-84.6651
472700,33.4398,-84.3980
472748,33.8236,-84.2296
472749,34.1148,-83.7114
472793,33.9073,-84.8452
472801,33.8224,-83.9826
472985,33.6327,-84.2414
473386,33.8456,-84.4831
473465,33.7452,-84.4365
473470,33.8559,-83.9169
473564,34.0679,-84.4800
473567,33.5068,-84.3973
473723,33.4363,-84.3184
473737,33.7278,-84.2017
473871,34.1008,-84.5834
473960,34.0625,-84.2932
473962,33.9688,-84.0747
474071,34.0771,-83.9554
474075,33.8834,-84.1701
474076,33.9249,-84.0047
474121,33.9284,-84.0851
474181,33.8534,-84.3660
474182,33.6755,-84.6200
474199,33.6766,-84.4290
474202,33.7561,-84.1112
474254,33.9569,-84.2431
474362,33.7853,-84.2025
474373,33.9526,-84.0380
474374,33.5047,-84.4783
474410,33.8794,-83.8665
474417,34.1291,-83.9594
474480,33.8839,-83.9507
474488,33.8047,-84.0253
474489,33.9288,-83.7937
474491,33.5789,-84.5755
474531,33.9420,-84.2082
474548,33.7001,-84.1586
474572,34.1319,-84.5052
474617,33.6782,-84.0200
474622,33.9040,-84.0253
474623,33.6297,-84.6175
474632,33.8343,-84.0643
474804,34.2832,-83.8606
474805,33.9543,-84.0446
475041,34.0500,-83.9254
475045,34.0044,-84.5077
475077,33.9133,-84.0309
475078,33.6430,-84.5540
475135,33.7451,-84.1447
475136,33.7451,-84.1447
475137,33.8274,-84.4836
475231,33.9020,-84.8195
475301,33.7352,-84.0495
475386,33.5606,-84.3971
475389,33.8252,-84.0569
475390,33.6787,-84.2235
475403,33.7693,-84.4696
475421,33.7929,-84.9143
475560,34.1824,-84.5130
475565,34.0219,-83.8781
475583,33.8568,-83.9720
475658,33.5419,-84.0836
475660,33.9578,-83.9132
475661,33.7336,-84.1356
475662,33.9472,-84.1191
475730,33.7677,-84.1976
475733,33.5926,-83.9381
475777,34.1786,-83.9208
475799,33.5376,-84.5748
475801,33.6836,-83.9852
475802,33.7013,-84.2636
475879,34.2286,-84.1166
475990,33.5759,-84.2647
476108,33.6164,-83.9821
476115,33.6703,-84.4838
476162,NULL,NULL
476172,34.0637,-84.5317
476173,33.8342,-84.5249
476249,33.8918,-84.3068
476284,34.0637,-84.5317
476299,33.9780,-84.5281
476326,34.0734,-84.6153
476353,33.5577,-84.2454
476428,33.7230,-84.1280
476505,33.8823,-84.8616
476506,33.7202,-84.2020
476507,33.7981,-84.2444
476633,33.9971,-84.5147
476644,33.6414,-84.4934
476650,33.8189,-83.9521
476668,34.0802,-84.5505
476669,33.9318,-83.7951
476670,33.7629,-84.1025
476671,33.6103,-83.9304
476743,34.1530,-83.9128
476832,33.7536,-84.4169
476855,33.7737,-84.1531
476869,33.8364,-84.1276
476870,34.0346,-83.9312
476899,33.9578,-83.9132
476933,33.8045,-84.8367
476972,34.0650,-84.5993
476979,34.1905,-84.7906
476989,34.2666,-85.2273
476990,34.2666,-85.2273
476991,34.0048,-83.9666
476995,34.3137,-84.6235
476997,33.7645,-84.2251
476998,33.7803,-83.9995
477000,33.8209,-84.1791
477001,33.8554,-83.8395
477003,33.9264,-84.0600
477109,33.7263,-84.1619
477116,33.6122,-84.6103
477155,33.7041,-85.0927
477200,33.5650,-83.8316
477201,33.7182,-84.5457
477216,33.7123,-84.0491
477217,33.8845,-84.2007
477218,33.9086,-84.5542
477248,33.8033,-84.2237
477251,33.9985,-83.8303
477252,33.6721,-84.4252
477253,33.9040,-84.0253
477272,33.8387,-84.4787
477273,34.0125,-84.3001
477274,33.7160,-84.3360
477279,34.3205,-84.0742
477280,33.5541,-82.0885
477404,NULL,NULL
477507,33.5265,-84.3343
477508,33.7963,-84.7503
477509,34.3520,-84.0018
477510,33.7526,-84.2059
477511,33.4480,-84.1844
477553,33.6647,-84.2011
477570,34.1905,-84.7906
477579,33.9794,-83.8822
477580,33.9561,-84.0910
477624,33.8829,-84.5781
